,ORG_entity,ORG_count
0,ps,22
1,rpr,21
2,urss,21
3,olp,20
4,knesset,19
5,soviétiques,16
6,ministre de la défense,14
7,nations unies,14
8,croix-rouge,13
9,udf,11
10,otan,11
11,renault,10
12,harvard,10
13,europe 1,9
14,gestapo,9
15,fmi,9
16,ocde,9
17,reich,9
18,omc,9
19,cnrs,8
20,nasa,8
21,l'onu,8
22,union européenne,8
23,edf,8
24,tf1,8
25,peugeot,8
26,front national,8
27,fatah,7
28,ministère de la défense,7
29,pr,7
30,gallimard,7
31,parti socialiste,7
32,unesco,6
33,ex-urss,6
34,fln,5
35,yougoslavie,5
36,air france,5
37,ii,5
38,bull,5
39,apec,5
40,ibm,5
41,cia,5
42,france télécom,5
43,fn,5
44,crédit lyonnais,5
45,front populaire,5
46,likoud,4
47,sofres,4
48,rda,4
49,allemagne fédérale,4
50,banque mondiale,4
51,psa,4
52,sncf,4
53,washington post,4
54,allemagne nazie,4
55,banque de france,4
56,pdg,4
57,rai,4
58,bundestag,4
59,france 2,4
60,front islamique du salut,4
61,tsahal,3
62,fao,3
63,mercedes,3
64,fbi,3
65,pacte de varsovie,3
66,parti travailliste,3
67,greenpeace,3
68,mossad,3
69,ptt,3
70,bouygues,3
71,insee,3
72,cgt,3
73,wehrmacht,3
74,sfio,3
75,eta,3
76,m6,3
77,bourse de paris,3
78,sony,3
79,pcf,3
80,kgb,3
81,toyota,3
82,citroën,3
83,pentagone,3
84,volkswagen,3
85,microsoft,3
