,PER_entity,PER_count
0,françois mitterrand,34
1,m.,33
2,jacques chirac,30
3,de gaulle,27
4,lionel jospin,26
5,général de gaulle,23
6,chirac,18
7,yasser arafat,16
8,menahem begin,16
9,mitterrand,16
10,roi hussein,15
11,charles pasqua,14
12,bill clinton,14
13,arafat,13
14,staline,13
15,moshe dayan,13
16,rabin,13
17,alain juppé,13
18,edouard balladur,12
19,shimon peres,11
20,golda meir,11
21,matignon,11
22,kennedy,11
23,hitler,11
24,lénine,10
25,nasser,10
26,martine aubry,10
27,raymond barre,9
28,valéry giscard d'estaing,9
29,david ben gourion,9
30,giscard,9
31,saddam hussein,9
32,napoléon,8
33,marx,8
34,eisenhower,8
35,george bush,8
36,président de la république,8
37,helmut kohl,8
38,christ,8
39,pierre bérégovoy,8
40,begin,8
41,robert,7
42,shamir,7
43,""" ii",7
44,hafez el-assad,7
45,robert badinter,7
46,jean-paul ii,7
47,bertrand,7
48,mao,7
49,jimmy carter,7
50,boris eltsine,7
51,clinton,7
52,michel rocard,7
53,voltaire,7
54,juppé,7
55,pierre mauroy,7
56,françois hollande,7
57,françoise giroud,6
58,simone veil,6
59,zola,6
60,anouar el-sadate,6
61,georges pompidou,6
62,mikhaïl gorbatchev,6
63,churchill,6
64,bernard kouchner,6
65,roosevelt,6
66,claude bébéar,6
67,alain,6
68,khrouchtchev,6
69,jacques toubon,6
70,guy mollet,6
71,philippe séguin,6
72,pierre mendès france,6
73,ariel sharon,6
74,sharon,6
75,fidel castro,6
76,john kennedy,6
77,robert boulin,5
78,jacques chaban-delmas,5
79,reagan,5
80,itzhak rabin,5
81,jean monnet,5
82,hassan ii,5
83,gérard,5
84,chi'ites,5
85,louis xiv,5
86,pierre joxe,5
87,alain peyrefitte,5
88,ii,5
89,gorbatchev,5
90,philippe,5
91,deng xiaoping,5
92,jésus-christ,5
93,james baker,5
94,charles,5
95,johnson,5
96,washington,5
97,alain madelin,5
98,pompidou,5
99,pétain,5
100,jospin,5
101,chaban,4
102,marcel carton,4
103,marcel fontaine,4
104,honni,4
105,ben bella,4
106,sartre,4
107,pascal,4
108,norodom sihanouk,4
109,claude cheysson,4
110,pinochet,4
111,laurent fabius,4
112,franco,4
113,jacques derogy,4
114,catherine,4
115,simone,4
116,"""ii",4
117,pierre méhaignerie,4
118,françoise,4
119,henri,4
120,sékou touré,4
121,tchang kaï-chek,4
122,philippe douste-blazy,4
123,raymond aron,4
124,joseph,4
125,john f. kennedy,4
126,truman,4
127,françois,4
128,pechiney,4
129,bernard arnault,4
130,jean,4
131,silvio berlusconi,4
132,marguerite duras,4
133,françois léotard,4
134,françois d'aubert,4
135,marc blondel,4
136,robert hue,4
137,georges marchais,4
138,castro,4
139,vincent bolloré,4
140,henri emmanuelli,4
141,philippe jaffré,4
142,gerhard schröder,4
143,dominique strauss-kahn,4
144,saddam,4
145,robert barbat,3
146,henri tournet,3
147,abraham lincoln,3
148,jean-charles marchiani,3
149,jean-paul kauffmann,3
150,chadli ben djedid,3
151,moubarak,3
152,benazir bhutto,3
153,lev,3
154,shimon pérès,3
155,golda,3
156,michel debré,3
157,youri gagarine,3
158,roland dumas,3
159,gilles perrault,3
160,jacques foccart,3
161,cervantès,3
162,claude buffet,3
163,roger bontems,3
164,lundi dernier,3
165,paul vi,3
166,henry kissinger,3
167,juan carlos,3
168,daniel,3
169,nelson mandela,3
170,antoine,3
171,kabyle,3
172,constantine,3
173,charles de gaulle,3
174,mobutu,3
175,tito,3
176,carlos,3
177,mozart,3
178,dior,3
179,john major,3
180,bruno,3
181,conan doyle,3
182,jean-marie le pen,3
183,jacques barrot,3
184,martin,3
185,séguin,3
186,jéricho,3
187,eltsine,3
188,hugo,3
189,mcdonald',3
190,mao tsé-toung,3
191,jésus,3
192,shakespeare,3
193,victor hugo,3
194,jean-louis giral,3
195,jean gandois,3
196,claude,3
197,diane,3
198,jean-claude trichet,3
199,renaud,3
200,bonaparte,3
201,helmut,3
202,rupert murdoch,3
203,tintin,3
204,freud,3
205,michel noir,3
206,neil armstrong,3
207,edwin aidrin,3
208,richard nixon,3
209,jaurès,3
210,ben gourion,3
211,césar,3
212,gaston defferre,3
213,léon blum,3
214,khaled,3
215,nicolas sarkozy,3
216,jean-marie messier,3
217,jeanne,3
218,serge tchuruk,3
219,michael jackson,3
220,marianne,3
221,hosni moubarak,3
222,hussein,3
223,maréchal pétain,3
224,rimbaud,3
225,robert schuman,3
226,jean-pierre chevènement,3
227,mendès france,3
228,bush,3
229,sadate,3
230,cyrus,3
231,félix houphouët-boigny,3
232,arik,3
233,béchir gemayel,3
234,gide,3
235,umberto eco,3
236,philippe bertrand,3
237,patrick henry,3
238,abraham,3
239,allah,3
240,maurice papon,3
241,tony blair,3
242,charles taylor,3
243,samuel doe,3
244,prince johnson,3
245,rené bousquet,3
246,pascal lamy,3
247,mohammed,3
